School ID,School Name,School Metro Type,School Percentage Free Lunch,School State,School Zip,School City,School County,School District
001c99821586a31688bde93efa3c8dfd,Milton High School,suburban,65,Florida,32570,Milton,Santa Rosa,Santa Rosa Co School District
001e39ee96f914ef8ddb37ce4ab3095c,Brass Community School,suburban,91,Wisconsin,53143,Kenosha,Kenosha,Kenosha Unified School Dist 1
001f5cac2eff62e8a4ac8e70a72d010a,Abbott Middle School,suburban,41,California,94403,San Mateo,San Mateo,San Mateo-Foster City Sch Dist
001ff199bc52e78c9a85f99143081e46,Wilson Elementary School,suburban,12,Wisconsin,53092,Mequon,Ozaukee,Mequon-Thiensville School Dist
001ff666a7cbe62354e7a2f9f31a806d,Tucker-Capps Elementary School,urban,40,Virginia,23666,Hampton,Hampton City,Hampton City School District
002064544b7f4b2badeb5af43ec3ec18,Scholls Heights Elementary School,suburban,14,Oregon,97007,Beaverton,Washington,Beaverton School District
0021b2fb6a7b7cf90f7f6237c961b1a8,Elmwood Junior Senior High School,rural,23,Illinois,61529,Elmwood,Peoria,Elmwood Cmty Unit Sch Dist 322
00227f0ab18421546b4269675f5e0d16,Brent Elementary School,unknown,70,Alabama,35034,Brent,Bibb,Bibb Co School District
0022a1402bfe31c2f091733fbf15992e,Grey Cloud Elementary School,suburban,16,Minnesota,55016,Cottage Grove,Washington,South Washington Co Sd 833
0023afd873db497fc43ca64ff901a275,Jackson Middle School,suburban,70,Texas,75052,Grand Prairie,Dallas,Grand Prairie Ind Sch District
00243d8b4e7fc10354d43d38c0956c8a,Fecteau-Leary Junior Senior Alternative High School,suburban,90,Massachusetts,01902,Lynn,Essex,Lynn Public School Dist
00263b5d6c8d744b55c34814f20f72c5,Veterans Memorial Family School,unknown,94,New Jersey,08105,Camden,Camden,Camden City School District
00268b860c35b75731d5f97deedbbd56,Brookside Elementary School,town,59,Kentucky,40356,Nicholasville,Jessamine,Jessamine Co School District
002775859958c4781d5b24aff76c3505,Canyon Oaks Elementary School,unknown,30,California,94503,American Cyn,Napa,Napa Valley Unified Sch Dist
0027f16ede708d00304593142a1c5b8b,Mt Vernon Elementary School,town,67,Missouri,65712,Mount Vernon,Lawrence,Mt Vernon School District R5
0029bdc9ef25316e8f5dfba328b230d0,Greater Waco Advanced Health Care Academy,unknown,90,Texas,76710,Waco,Mclennan,Waco Ind School District
0029c363ee0c570e8b9c33cdf601d02f,Kelly Springs Elementary School,urban,58,Alabama,36303,Dothan,Houston,Dothan City School District
002a4a06bce1a643b1f9c889653cdb1d,Parker Bridge Program,unknown,12,Colorado,80134,Parker,Douglas,[County Run]
002b7be6dce419aac01c5297dd74a8fd,Northwood Elementary School,suburban,35,Washington,98371,Puyallup,Pierce,Puyallup School District 3
002b84000b4ed0454abc3b2c5e94ff4f,Isaac Litton Middle School,urban,81,Tennessee,37216,Nashville,Davidson,Metro Nashville Public Sd
002bab4b5d9be699318121598accf5f4,District 20 Pre-K Center at 1258 65 Street ,unknown,,New York,11219,New York City,Kings (Brooklyn),New York Dept Of Education
002c068c1ef47a94c8851bbd861f4f30,Quidnessett Elementary School,suburban,54,Rhode Island,02852,N Kingstown,Washington,North Kingstown School Dist
002c81f42d84005437b0d506a4664545,Gates Elementary School,suburban,42,Michigan,48423,Davison,Genesee,Davison Cmty School District
002ca9cbbf73a76ac54a13e7414bd80e,Heath Middle School,suburban,37,Ohio,43056,Heath,Licking,Heath City School District
002cdb22456c66001bfcb47df43b7d6d,Longview Elementary School,suburban,29,Utah,84107,Murray,Salt Lake,Murray City School District
002e10e9e0a181bc1977501c4da826a2,Rapoport Academy Elementary School- East Campus,urban,77,Texas,76704,Waco,Mclennan,Texas Dept Of Education
0030b992772148dd4bdd8a6a2a9c6f35,Hellgate Intermediate School,urban,44,Montana,59808,Missoula,Missoula,Hellgate School District 4
003147d70210bc5950db6baedeb8004c,Westridge Middle School,suburban,95,Florida,32809,Orlando,Orange,Orange Co Public School Dist
00338491afb8901ec167a56d2f2d66ac,Crossroads Montessori Elementary School,urban,64,Minnesota,55117,Saint Paul,Ramsey,St Paul Independent Sd 625
0033b6a8fb9640a801121a6b7b69b318,Walter Jacobson Elementary School,urban,60,Nevada,89145,Las Vegas,Clark,Clark Co School District
0033d2cd1298d4a22c99d6ac2cace11b,Licking Heights North Elementary School,rural,40,Ohio,43062,Pataskala,Licking,Licking Heights Local Sch Dist
0033d3e34f8e6d753f897dc9e2e623a4,Rosemont Early Education Center,urban,75,California,90026,Los Angeles,Los Angeles,Los Angeles Unif Sch Dist
00340a547d7fdfeca3052e846494c4f6,Diablo Vista Middle School,suburban,3,California,94506,Danville,Contra Costa,San Ramon Valley Unified Sd
00347d3ba099b99688dfe02e9b29f430,John I Smith K-8 Center,suburban,44,Florida,33178,Miami,Miami-Dade,Miami-Dade Co Public Sch Dist
0035a3b0a20ad9485fd323a93b5d8a2c,Peachcrest Elementary School,suburban,95,Georgia,30032,Decatur,De Kalb,Dekalb Co School District
003603fd3bcae1d9eb749fb327a9278b,Valley View Junior High School,rural,32,Ohio,45325,Farmersville,Montgomery,Valley View Local School Dist
0036d02eed0f149696c362bc1bd6e156,Edgewood Elementary School,rural,49,Ohio,45067,Trenton,Butler,Edgewood City School District
00388014c7c82426b091a73f77f04485,Riverdale High School,suburban,99,Georgia,30274,Riverdale,Clayton,Clayton Co Public Schools
003994cc1cc1061b173d6fa566378f07,La Paloma High School,suburban,46,California,94513,Brentwood,Contra Costa,Liberty Union High Sch Dist
0039a85be3f6b92b222432af91ccbaf3,Theodore Lester Elementary School,urban,87,South Carolina,29506,Florence,Florence,Florence School District 1
0039e353f9179a87e9c8fa6dc3060d60,Timber Trails Elementary School,urban,52,Illinois,60192,Hoffman Est,Cook,Elgin School District U-46
003aaf85ecad07e1fa9415b184c32f0f,Flushing International High School,urban,95,New York,11355,New York City,Queens,New York City Dept Of Ed
003ac6a3b9b9e11ccb314b994c2a8ab4,Chaney High School,urban,95,Ohio,44509,Youngstown,Mahoning,Youngstown City School Dist
003b801208f001e2da6af0b7a9728f24,Curtin Intermediate School,urban,71,Pennsylvania,17701,Williamsport,Lycoming,Williamsport Area School Dist
003cf9c97245f7b95171b2fc4dc8a9a4,Greenwood Elementary School,urban,5,Minnesota,55446,Plymouth,Hennepin,Wayzata School District 284
003dab45aba67d04fca19b7763df4d9f,West Haverstraw Elementary School,suburban,46,New York,10993,W Haverstraw,Rockland,North Rockland Central Sd
003f927758df69a024ea4822979f7364,Shirley & Bill Wallin Elementary School,urban,8,Nevada,89044,Henderson,Clark,Clark Co School District
004033c849c6b24838d414655c8a7d1a,Mandarin Middle School,urban,36,Florida,32257,Jacksonville,Duval,Duval Co Public School Dist
004202d8f6f2c814c9226cb02701f513,Holmes High School,suburban,73,Kentucky,41014,Covington,Kenton,Covington Independent Sch Dist
0042db4e9b5f32d74393fcca2563ea89,Vg Hawkins Middle School,suburban,43,Tennessee,37075,Hendersonville,Sumner,Sumner Co School District
004324b98cd2fe85f5f123f27e64ad6f,Park Avenue Elementary School,town,53,Ohio,43338,Mount Gilead,Morrow,Mt Gilead Exempted Village Sd
00433592e49fdbaba5d174bfb213d639,John W North High School,urban,73,California,92507,Riverside,Riverside,Riverside Unified Sch Dist
0043c28fd2dacaaa8b39a49b9d06dbee,Shadeville Elementary School,rural,58,Florida,32327,Crawfordville,Wakulla,Wakulla Co School District
0044db2cb32594e5e3e8ba8401ddb3f9,Spaulding Elementary School,rural,82,South Carolina,29069,Lamar,Darlington,Darlington Co School District
0045142ce3d878d17b9d16f797422a4d,Terence C Reilly School 7,suburban,79,New Jersey,07206,Elizabeth,Union,Elizabeth School District
0045c32c9e06d0b24b042c27694ea294,Del Amigo High School,suburban,27,California,94526,Danville,Contra Costa,San Ramon Valley Unified Sd
0045f077b6ab4c16dcdee14baede75d8,Ell-Saline Elementary School,town,50,Kansas,67401,Salina,Saline,Ell-Saline Unified Sd 307
0046ff5cbdc2fe441a60669c01994ad9,Edgewood Community Elementary School,urban,30,Oregon,97405,Eugene,Lane,Eugene School District 4j
00490596086f5586c4d32cb939c8a77e,Broad Avenue Elementary School,urban,84,California,90744,Wilmington,Los Angeles,Los Angeles Unif Sch Dist
00491cc10290a8befe715900a5fcaf45,Simsboro School,rural,76,Louisiana,71275,Simsboro,Lincoln,Lincoln Parish School District
004a0360babc8d12a0a8977c6e8ed098,Woodlands Middle School,suburban,55,Florida,33467,Lake Worth,Palm Beach,Palm Beach Co School District
004c1bd9aebef5c4c32a0288bb9f961d,Sanlee Middle School,rural,72,North Carolina,27332,Sanford,Lee,Lee Co Schools
004e00f37f98fcc375a058344e0c71b0,Thorp School,rural,51,Washington,98946,Thorp,Kittitas,Thorp School District 400
004e1a47e4670142167b406ee5cb7325,Community of Peace Academy,urban,85,Minnesota,55130,Saint Paul,Ramsey,Minnesota Dept Of Education
004e3c9d186ae0fc18a7199399684b15,Saddle Ridge School,rural,67,Georgia,30739,Rock Spring,Walker,Walker Co School District
0051e535911662b337a32fa1605a6673,L A Chaffin Junior High School,urban,47,Arkansas,72903,Fort Smith,Sebastian,Ft Smith School District
0055106df1894e663c6637e57dddd694,Dr Hubert Eaton Senior Elementary School,unknown,16,North Carolina,28411,Wilmington,New Hanover,New Hanover Co School District
0055150737697340db4156ee3813edb5,B F Norton Elementary School,suburban,50,Rhode Island,02864,Cumberland,Providence,Cumberland Public School Dist
00577ad3bcaacc42bcbc712f2b857d97,Whitehall Middle School,town,44,Michigan,49461,Whitehall,Muskegon,Whitehall District Schools
0057a88739632e1ea4e11b17228d24b1,Whittier Middle School,urban,62,South Dakota,57103,Sioux Falls,Minnehaha,Sioux Falls School Dist 49-5
00584635e36e738ac09073db6bf46537,Covenant Keepers College Prep,urban,91,Arkansas,72209,Little Rock,Pulaski,Arkansas Dept Of Education
0059862631151cd960f49502cd5ed6ea,Maynard Jackson High School,urban,95,Georgia,30316,Atlanta,Fulton,Atlanta Public Schools
005a35996ddac74815f549d2a79580ec,Cambridge Intermediate School,unknown,54,Ohio,43725,Cambridge,Guernsey,Cambridge City School District
005a8caadfd9c364037b6cfbf95825c1,Kemp Primary School,suburban,95,Georgia,30228,Hampton,Clayton,Clayton Co Public Schools
005cc63be348308f6f555c222b483db8,McKinley Elementary School,urban,25,California,94114,San Francisco,San Francisco,San Francisco Unified Sch Dist
005cf94a9a2ae0354b96caab7e6b7653,Adams School,suburban,80,Massachusetts,02149,Everett,Middlesex,Everett Public School District
005d6d2a801bda4fb6c1cb8f00219405,Eastmont Middle School,suburban,31,Utah,84094,Sandy,Salt Lake,Canyons School District
005dba48fed63ef165ff466e63c2136b,La Harpe Elementary School,rural,61,Illinois,61450,La Harpe,Hancock,La Harpe Cmty Sch Dist 347
005ffb68a447dc5f0fc7b32c9f40d0e8,Roxbury Prep High School,urban,80,Massachusetts,02130,Jamaica Plain,Suffolk,Massachusetts Dept Of Ed
0061c154ab7847d60205420784216bbf,Conejo Middle School,rural,89,California,93242,Laton,Fresno,Laton Joint Unified Sch Dist
0062cc7f854563814303343b56a2f4de,Bennington Elementary School,rural,13,Nebraska,68007,Bennington,Douglas,Bennington School District 59
00635af6c99070f51239aa8f5fbb0298,Defiance Elementary School,rural,65,Ohio,43512,Defiance,Defiance,Defiance City School District
00646166e5485cf808fd89a249889865,Clarksville Elementary School,rural,65,Virginia,23927,Clarksville,Mecklenburg,Mecklenburg Co School District
00658000f73552c3a8a63afa5554d066,Cumberland Elementary School,rural,77,Kentucky,40823,Cumberland,Harlan,Harlan Co School District
0065a6671f01d8fb80b6b579434b00a8,Emma Elementary School,unknown,93,North Carolina,28806,Asheville,Buncombe,Buncombe Co School District
0066f9d0066c847c22f8b80c3a10ab22,Stephen Foster Elementary Charter School,urban,52,Wisconsin,54915,Appleton,Outagamie,Appleton Area School District
0067df6129a7e08dae53972bf6e47384,Cedar Way Elementary School,suburban,43,Washington,98043,Mountlake Terrace,Snohomish,Edmonds School District 15
006812e454e2e71ebe129745676f5245,Conrad Weiser E Elementary School,suburban,22,Pennsylvania,19565,Wernersville,Berks,Conrad Weiser Area Sch Dist
0068ea5debc746a0969a88692ec02d25,Skipcha Elementary School,suburban,31,Texas,76548,Harker Hts,Bell,Killeen Ind School District
0068edf18656566c80f31552978ae5fc,Riley Avenue Elementary School,rural,34,New York,11933,Calverton,Suffolk,Riverhead Central School Dist
006960b6c63c002a199220cc4c928ef6,Dover Elementary School,rural,40,New York,12522,Dover Plains,Dutchess,Dover Union Free Sch District
006b68c3e8325189a0197957f4f1c990,Calvert Elementary School,rural,40,Maryland,20678,Prince Frederick,Calvert,Calvert Co Public Sch District
006cbb4c90a47796c4768ad799340615,District 20 Pre-K Center K560,unknown,,New York,11220,New York City,Kings (Brooklyn),New York City Dept Of Ed
006ee6620a6b7b275f8e09614fb6d38d,Richmond Middle School,rural,50,Maine,04357,Richmond,Sagadahoc,Rsu 2
006f7a85f0716748480157f467759710,Mt Pleasant Junior High School,town,81,Texas,75455,Mt Pleasant,Titus,Mt Pleasant Ind School Dist
0070f288a3ade24e4e26468be015b878,Second Creek Elementary School,suburban,36,Colorado,80022,Commerce City,Adams,Brighton School District 27j
00719357b7b436d708e348c6caacbfba,Monte Vista Elementary School,suburban,69,California,92084,Vista,San Diego,Vista Unified School District
007201fb726ed35eb0c84ecfa51aac3d,Moody Junior High School,rural,50,Alabama,35004,Moody,St Clair,St Clair Co School District
0072a29e81c04cabea401331ccd58c95,Central High School,suburban,48,Colorado,81504,Grand Jct,Mesa,Mesa Co Valley School Dist 51
0074e80530beeecbc28793266665f41d,IDEA College Prep-Rundberg,urban,87,Texas,78751,Austin,Travis,Idea Public Schools
00754c0da604b1642e86d2c77aa2e492,Gratz Brown Elementary School,unknown,72,Missouri,65270,Moberly,Randolph,Moberly School District
00759d02e6679129db07f8b8969f55d9,Cumberland Campus School,unknown,33,New Jersey,08302,Bridgeton,Cumberland,Salem Co Special Services Sd
0075a6b991d2dfea053be8d2339ed68f,Williston Elko High School,rural,81,South Carolina,29853,Williston,Barnwell,Williston School District 29
0076f7cf6918d9e2e3ff3c178f31fd41,Mountain View Elementary School,urban,55,Montana,59405,Great Falls,Cascade,Great Falls School District 1a
0077ad7a29691afe6c269b268172ae4a,Columbus Elementary School,urban,78,Illinois,60622,Chicago,Cook,Chicago Psd-Network 5
0078f784658824d1fc1be31ef073b0d6,Boynton Beach Community High School,suburban,75,Florida,33426,Boynton Beach,Palm Beach,Palm Beach Co School District
00792efb8297b652a8830f1f5980bb4f,Pathways to Graduation at Jamaica Learning Center,unknown,,New York,11432,New York City,Queens,District 79
0079643d5a79ee7e6391a4ef42d49890,Otto Middle School,urban,29,Texas,75074,Plano,Collin,Plano Ind School District
0079c90330a79cd1ba77723283bf1034,Merriam Cherry Street Elementary School,urban,80,Florida,32401,Panama City,Bay,Bay Co School District
007f2d46618ce77277d645d98a4e22c3,Russellville Elementary School,suburban,57,Tennessee,37860,Russellville,Hamblen,Hamblen Co Sch District
0081f89531791d4101c9ad99521473c1,South Elementary School,town,38,Michigan,49404,Coopersville,Ottawa,Coopersville Area Pub Sch Dist
0082098810a0a3a91a6bcc3867a0d432,Northside Elementary School,suburban,72,Mississippi,39208,Pearl,Rankin,Pearl Public School District
008458c1ce70a8d56954d8adb7cc00bf,Mooreville Elementary School,rural,61,Mississippi,38857,Mooreville,Lee,Lee Co School District
0088ea037973515b26fd49ccb4cec07f,Academy of Dallas - Vernon Campus,unknown,87,Texas,75224,Dallas,Dallas,Texas Dept Of Education
008a741f042897f79737d3a39a569743,Academy West,suburban,98,Michigan,48504,Flint,Genesee,Westwood Heights School Dist
008d95f73e9881a01234edbc45c286be,Oglesby School,rural,70,Texas,76561,Oglesby,Coryell,Oglesby Ind School District
008e1633ce760483cc50966110d065b8,Washington Elementary School,suburban,13,New Jersey,07110,Nutley,Essex,Nutley School District
008e3836e3b4c793cacd7f0f465fbb28,Emerson School,urban,85,New York,11433,New York City,Queens,New York City Dept Of Ed
008f323f0ec8014174705154a9328a2d,Ashby School,rural,50,Minnesota,56309,Ashby,Grant,Ashby Ind School District 261
009159cce426aba375867e5d1f71fbad,Washington Elementary School,suburban,82,Connecticut,06040,Manchester,Hartford,Manchester Public School Dist
0091eb8698e8073b5503c98dfe43ee6e,Cielo Vista Elementary School,urban,46,Texas,79925,El Paso,El Paso,El Paso Ind School District
00937d3670f396ee54f473e2a3507afc,Sutherland Center,town,87,California,93630,Kerman,Fresno,[County Run]
00945e757b5065c2f6936307fb7db6d3,Normal Park Museum Magnet Upper,urban,61,Tennessee,37405,Chattanooga,Hamilton,Hamilton Co School District
0094c89fe2eea40c0c070582b36a4cfb,Global Education Academy,urban,93,California,90037,Los Angeles,Los Angeles,Los Angeles Unif Sch Dist
0095443b687b397609a237674e52a309,Albion Elementary School,suburban,18,Ohio,44133,N Royalton,Cuyahoga,North Royalton City Sch Dist
0095947c955ed62b9eba0f10e14824e0,Draper Middle School,suburban,32,New York,12303,Schenectady,Schenectady,Mohonasen Central Sch Dist
0095b620d638e5b176facf472582a717,Westwood High School,urban,68,Arizona,85201,Mesa,Maricopa,Mesa Unified School Dist 4
009790713e0402d6d320df736823a295,Osage Middle School,rural,55,Missouri,65065,Osage Beach,Miller,School Of The Osage District
009898f650389d53ac31ff3cfa320695,Andrew Jackson Middle School,suburban,82,Louisiana,70043,Chalmette,St Bernard,St Bernard Parish School Dist
00990ce0a17f961acaa7c3d7316f955d,Strack Intermediate School,suburban,28,Texas,77379,Klein,Harris,Klein Ind School District
009b57a11c47e388c211ab833dd99488,Turner Middle School,urban,79,Kansas,66106,Kansas City,Wyandotte,Turner Unified Sch Dist 202
009b908fe221afa106466cdab2221c7f,Erskine Elementary School,urban,84,Indiana,46013,Anderson,Madison,Anderson Cmty School Corp
009b9afe3b39af33df8bdfc254bf661e,New Windsor School,suburban,56,New York,12553,New Windsor,Orange,Newburgh Enlarged City Sd
009b9b4713013c95da73ab47fd388a0c,Serene Lake Elementary School,suburban,38,Washington,98026,Edmonds,Snohomish,Mukilteo School District 6
009bdfadee2db33f9c482b0b7fc68442,Pleasant Valley Elementary School,suburban,9,New Jersey,08062,Mullica Hill,Gloucester,Harrison Twp School District
009c64a3522f21e0c13a80166720954f,Revere High School,suburban,77,Massachusetts,02151,Revere,Suffolk,Revere Public Schools
009fcfaed9be64b3dec190d194535e36,Orange Avenue School,suburban,2,New Jersey,07016,Cranford,Union,Cranford Public School Dist
009fd2274ff61fdf56dad505cc95cd50,Sunnyside High School,town,94,Washington,98944,Sunnyside,Yakima,Sunnyside School District 201
00a00d457825f3a29d659a1fbb8010e9,Social Circle Middle School,unknown,55,Georgia,30025,Social Circle,Walton,Social Circle City Sch Dist
00a0ac6b76be46039f9f8813d3631b3e,Charlotte Engineering Early College High School,urban,56,North Carolina,28262,Charlotte,Mecklenburg,Charlotte-Mecklenburg Sch Dist
00a11e0b27e4a1bddf50cc147d363315,Cabrillo Middle School,urban,68,California,95051,Santa Clara,Santa Clara,Santa Clara Unified Sch Dist
00a184c7f34a77e5771b62773d1e969d,Rock Lake Elementary School,urban,80,Florida,32805,Orlando,Orange,Orange Co Public School Dist
00a1f968ca358008470e2a7b6d6d65f1,Capon Bridge Elementary School,rural,64,West Virginia,26711,Capon Bridge,Hampshire,Hampshire Co School District
00a21706f7451153b1a5ab6d23cbf2ae,Idea Academy-Carver,urban,85,Texas,78202,San Antonio,Bexar,Idea Public Schools
00a2e9abef1e544a0f3ca4ac835c5b48,West Elementary School,rural,56,Ohio,43901,Adena,Jefferson,Buckeye Local School District-Jefferson
00a411c2a980dce113d6b2ac219bf78f,Ryan School,rural,65,Oklahoma,73565,Ryan,Jefferson,Ryan School District
00a43572868fc9102e515b894a6c705f,Berney Elementary School,urban,45,Washington,99362,Walla Walla,Walla Walla,Walla Walla School Dist 140
00a464584e724cfc27ce053bd469a214,Fees College Prep Middle School,urban,66,Arizona,85283,Tempe,Maricopa,Tempe Elem School District 3
00a6cd07968eb3b7067527325448fe8d,Bridgeport Elementary School,suburban,5,California,91355,Santa Clarita,Los Angeles,Saugus Union Sch District
00a726f4dfb162077d779f4aca9974c1,Black Diamond Middle School,suburban,61,California,94531,Antioch,Contra Costa,Antioch Unified School Dist
00a7ba8cadfc3cdfce6247b228db4868,Schultz Junior High School,rural,59,Texas,77484,Waller,Waller,Waller Ind School District
00a87733f00e41aa080388020ba28ac0,John K Hubbard Elementary School,suburban,68,Oklahoma,73068,Noble,Cleveland,Noble Independent Sch Dist 40
00a91a15378bee5ec4674a3356ce5dd5,Arts & College Prep Academy,urban,42,Ohio,43232,Columbus,Franklin,[County Run]
00a9ea9f9284d80ef8048aaa586b2b6a,Zilwaukee Intl Studies School,suburban,84,Michigan,48604,Saginaw,Saginaw,Saginaw Public Schools
00aa297e7f53dceb052a7bd2fb460495,Lohr Elementary School,suburban,27,Ohio,44662,Navarre,Stark,Perry Local School District-Stark
00ac4caaa84b2136095b82bf2e43960d,East Side Elementary School,town,38,Montana,59230,Glasgow,Valley,Glasgow School District 1-A
00ad273c3736598df89332872bec88bb,Ulysses S. Grant High School,urban,77,California,91401,Valley Glen,Los Angeles,Los Angeles Unif Sch Dist
00ad57a13e76aa0658043e1c0440399a,John J Ciavarra Elementary School,unknown,67,Texas,78016,Devine,Medina,Devine Ind School District
00ae6c9ae234b222501982071708e433,Hidden Forest Elementary School,urban,17,Texas,78232,San Antonio,Bexar,North East Ind School District
00b1f6f7bb9e0ff11699e568f7101046,Landmark High School,urban,90,New York,10011,New York City,New York (Manhattan),New York City Dept Of Ed
00b33cab72567820cb43d9cbcb81977c,Norwayne Middle School,rural,50,North Carolina,27830,Fremont,Wayne,Wayne Co Public School Dist
00b34e98bb292aa4b703a98daf5d7c00,Eldon Ready Elementary School,suburban,63,Indiana,46319,Griffith,Lake,Griffith Public School Dist
00b38c1fdb9060a25d3d93ab05cd327f,Richland Junior Senior High School,rural,73,Missouri,63846,Essex,Stoddard,Richland R1 Schools
00b5bb6f6e01efb25a55fde33d177983,La Porte High School,suburban,53,Texas,77571,La Porte,Harris,La Porte Ind School District
00b6fac32aaa2e03573ca932cd81dbae,Ryerson Elementary School,suburban,39,New Jersey,07470,Wayne,Passaic,Wayne Twp Public Schools
00b7689732245e49ee171d3462afac3b,Burncoat Middle School,urban,73,Massachusetts,01606,Worcester,Worcester,Worcester Public School Dist
00b7af6ac1cdc7e9a7b4db65d605f4bf,Island Heights Elementary School,suburban,7,New Jersey,08732,Island Hgts,Ocean,Island Heights Sch Dist
00b8c776fc8b71ea5ddf82c9bf9003a1,Lee H Means Elementary School,urban,75,Texas,78550,Harlingen,Cameron,Harlingen Cons Ind School Dist
